time,n,dt,threshold
3.6,0,0.3,2.6
3.9,0,0.3,2.6
4.2,2,0.3,2.6
4.5,4,0.3,2.6
4.8,2,0.3,2.6
5.1,1,0.3,2.6
5.4,2,0.3,2.6
5.7,2,0.3,2.6
6,1,0.3,2.6
6.3,1,0.3,2.6
6.6,0,0.3,2.6
6.9,2,0.3,2.6
7.2,5,0.3,2.6
7.5,0,0.3,2.6
7.8,1,0.3,2.6
8.1,1,0.3,2.6
8.4,0,0.3,2.6
8.7,0,0.3,2.6
9,2,0.3,2.6
9.3,2,0.3,2.6
9.6,2,0.3,2.6
9.9,1,0.3,2.6
10.2,1,0.3,2.6
10.5,0,0.3,2.6
10.8,2,0.3,2.6
11.1,1,0.3,2.6
11.4,0,0.3,2.6
11.7,0,0.3,2.6
12,1,0.3,2.6
12.3,0,0.3,2.6
12.6,1,0.3,2.6
12.9,0,0.3,2.6
13.2,0,0.3,2.6
13.5,1,0.3,2.6
13.8,1,0.3,2.6
14.1,1,0.3,2.6
14.4,1,0.3,2.6
14.7,1,0.3,2.6
15,0,0.3,2.6
15.3,0,0.3,2.6
15.6,2,0.3,2.6
15.9,1,0.3,2.6
16.2,2,0.3,2.6
16.5,1,0.3,2.6
16.8,0,0.3,2.6
17.1,1,0.3,2.6
17.4,1,0.3,2.6
17.7,5,0.3,2.6
18,2,0.3,2.6
18.3,0,0.3,2.6
18.6,1,0.3,2.6
18.9,4,0.3,2.6
19.2,0,0.3,2.6
19.5,1,0.3,2.6
19.8,2,0.3,2.6
20.1,2,0.3,2.6
20.4,1,0.3,2.6
20.7,2,0.3,2.6
21,1,0.3,2.6
21.3,1,0.3,2.6
21.6,1,0.3,2.6
21.9,2,0.3,2.6
22.2,0,0.3,2.6
22.5,1,0.3,2.6
22.8,0,0.3,2.6
23.1,2,0.3,2.6
23.4,1,0.3,2.6
23.7,0,0.3,2.6
24,0,0.3,2.6
24.3,1,0.3,2.6
24.6,3,0.3,2.6
24.9,1,0.3,2.6
25.2,2,0.3,2.6
25.5,2,0.3,2.6
25.8,1,0.3,2.6
26.1,0,0.3,2.6
26.4,2,0.3,2.6
26.7,5,0.3,2.6
27,3,0.3,2.6
27.3,2,0.3,2.6
27.6,1,0.3,2.6
27.9,0,0.3,2.6
28.2,2,0.3,2.6
28.5,1,0.3,2.6
28.8,0,0.3,2.6
29.1,0,0.3,2.6
29.4,2,0.3,2.6
29.7,0,0.3,2.6
30,1,0.3,2.6
30.3,0,0.3,2.6
30.6,0,0.3,2.6
30.9,0,0.3,2.6
31.2,1,0.3,2.6
31.5,2,0.3,2.6
31.8,3,0.3,2.6
32.1,3,0.3,2.6
32.4,1,0.3,2.6
32.7,1,0.3,2.6
33,1,0.3,2.6
33.3,1,0.3,2.6
33.6,1,0.3,2.6
33.9,2,0.3,2.6
34.2,1,0.3,2.6
34.5,1,0.3,2.6
34.8,2,0.3,2.6
35.1,0,0.3,2.6
35.4,0,0.3,2.6
35.7,1,0.3,2.6
36,2,0.3,2.6
36.3,3,0.3,2.6
